segment_id,duration,idle_ratio,accel_ratio,decel_ratio,cruise_ratio,v_mean,v_mean_run,v_max,v_std,a_mean_pos,a_mean_neg,a_max,a_std,v_times_a_max,cluster,工况
319,186.0,0.07526881720430108,0.3763440860215054,0.34946236559139787,0.20430107526881722,30.48440860215054,32.9656976744186,47.9,11.868768265246379,0.45873015873015877,-0.4799145299145299,4.694444444444445,0.6358392464290087,28.55787037037037,1,城郊过渡工况（中速）
320,67.0,0.47761194029850745,0.07462686567164178,0.14925373134328357,0.31343283582089554,1.8865671641791046,3.6114285714285717,5.2,1.9880910759032113,0.3611111111111111,-0.19166666666666665,1.0833333333333333,0.16741681631896058,1.173611111111111,0,市区拥堵工况（低速、高怠速比）
321,202.0,0.04950495049504951,0.43564356435643564,0.3316831683168317,0.18811881188118812,29.353960396039604,30.8828125,48.1,11.135142352316485,0.3734217171717172,-0.441542288557214,1.333333333333333,0.44447960862127833,11.43209876543208,1,城郊过渡工况（中速）
322,74.0,0.14864864864864866,0.3918918918918919,0.33783783783783783,0.13513513513513514,25.71351351351351,30.18253968253968,42.2,14.518453535436487,0.5296934865900383,-0.701111111111111,1.8888888888888893,0.7293384156992588,8.290123456790125,1,城郊过渡工况（中速）
323,181.0,0.011049723756906077,0.4530386740331492,0.40331491712707185,0.13812154696132597,27.555801104972378,27.862569832402233,42.6,9.662968673484881,0.5724932249322492,-0.6487823439878235,3.8888888888888875,0.8224935634994275,38.67283950617282,1,城郊过渡工况（中速）
324,75.0,0.14666666666666667,0.29333333333333333,0.3333333333333333,0.24,15.130666666666668,17.715625000000003,27.0,8.675482285665096,0.49621212121212127,-0.43777777777777777,1.2222222222222223,0.4389937364995895,7.70679012345679,1,城郊过渡工况（中速）
325,43.0,0.5348837209302325,0.18604651162790697,0.2558139534883721,0.09302325581395349,3.104651162790697,6.57,12.7,4.32945313096196,0.5868055555555556,-0.4696969696969699,2.0277777777777777,0.4868770095920215,4.3371913580246915,0,市区拥堵工况（低速、高怠速比）
326,60.0,0.06666666666666667,0.31666666666666665,0.35,0.2833333333333333,12.208333333333332,13.080357142857142,20.9,5.673073583948025,0.3845029239766082,-0.34126984126984117,1.972222222222222,0.38708216775684207,3.88966049382716,1,城郊过渡工况（中速）
327,48.0,0.020833333333333332,0.3541666666666667,0.3958333333333333,0.25,25.38333333333333,25.92340425531914,35.9,8.34648961473558,0.665032679738562,-0.54093567251462,5.138888888888888,0.8859995282578973,26.408179012345673,1,城郊过渡工况（中速）
328,61.0,0.4918032786885246,0.26229508196721313,0.19672131147540983,0.06557377049180328,6.855737704918033,13.45483870967742,25.4,8.004415269090787,0.5694444444444444,-0.7777777777777778,2.2777777777777777,0.5462484456196254,6.77314814814815,0,市区拥堵工况（低速、高怠速比）
329,100.0,0.33,0.25,0.29,0.14,3.8570000000000007,5.755223880597015,15.3,4.002030859451236,0.39111111111111113,-0.3582375478927203,1.111111111111111,0.3371540293488613,3.364197530864197,0,市区拥堵工况（低速、高怠速比）
330,50.0,0.3,0.38,0.22,0.12,14.752000000000002,21.074285714285715,29.4,11.24559006900038,0.42251461988304095,-0.5833333333333333,1.5,0.5229014495351164,4.5,1,城郊过渡工况（中速）
331,125.0,0.048,0.344,0.36,0.256,21.3064,22.366386554621847,34.7,10.269151816971059,0.4198966408268735,-0.44012345679012344,2.0,0.4821073083765931,4.583333333333335,1,城郊过渡工况（中速）
332,50.0,0.9,0.04,0.06,0.02,0.26,2.6,3.1,0.7927168473042566,0.40277777777777773,-0.25,0.6944444444444444,0.12029285253235276,0.48225308641975306,0,市区拥堵工况（低速、高怠速比）
333,50.0,0.06,0.5,0.28,0.18,16.328,17.370212765957447,26.9,7.6957141319048485,0.4955555555555556,-0.8373015873015873,1.972222222222222,0.7120055139195565,6.4645061728395055,1,城郊过渡工况（中速）
334,233.0,0.10300429184549356,0.3905579399141631,0.30472103004291845,0.20600858369098712,30.236051502145926,33.70717703349282,51.8,14.705077393457069,0.4291819291819291,-0.5559467918622847,2.9999999999999982,0.6156159276906736,42.49999999999997,1,城郊过渡工况（中速）
335,95.0,0.12631578947368421,0.37894736842105264,0.28421052631578947,0.22105263157894736,27.611578947368425,31.603614457831323,46.8,16.814967412572425,0.3649691358024691,-0.491769547325103,1.4166666666666665,0.4138843185363885,5.600308641975313,1,城郊过渡工况（中速）
336,123.0,0.04065040650406504,0.4715447154471545,0.21138211382113822,0.2845528455284553,39.57479674796748,41.251694915254234,49.6,11.906393674179526,0.3524904214559387,-0.7638888888888887,1.8888888888888888,0.7225209441804997,7.619598765432101,1,城郊过渡工况（中速）
337,243.0,0.4156378600823045,0.2880658436213992,0.18518518518518517,0.11522633744855967,23.23292181069959,39.75704225352113,57.5,21.757138427030817,0.3551587301587301,-0.5555555555555555,2.3333333333333335,0.4260582874317469,8.750000000000007,1,城郊过渡工况（中速）
338,296.0,0.0472972972972973,0.375,0.3108108108108108,0.2702702702702703,30.492567567567573,32.0063829787234,46.2,12.902799775872113,0.3781281281281282,-0.45320048309178734,1.4444444444444446,0.45598108587566655,7.904320987654322,1,城郊过渡工况（中速）
339,49.0,0.10204081632653061,0.5714285714285714,0.22448979591836735,0.12244897959183673,27.197959183673465,30.281818181818174,39.5,12.008406745682901,0.4970238095238095,-1.22979797979798,2.0277777777777777,0.8572159652801414,7.829475308641975,1,城郊过渡工况（中速）
340,64.0,0.5,0.25,0.21875,0.046875,9.5328125,19.05625,28.4,10.523738859827516,0.49826388888888884,-0.6230158730158729,1.3888888888888888,0.48941631188658147,2.962962962962961,0,市区拥堵工况（低速、高怠速比）
341,24.0,0.4583333333333333,0.2916666666666667,0.25,0.041666666666666664,3.4625,6.199999999999999,10.5,3.520867849929427,0.4523809523809523,-0.6574074074074073,0.7222222222222222,0.4731517721104964,1.2152777777777777,0,市区拥堵工况（低速、高怠速比）
342,67.0,0.373134328358209,0.2537313432835821,0.208955223880597,0.1791044776119403,6.883582089552239,10.980952380952383,15.5,5.892889644534699,0.4003267973856209,-0.4583333333333333,1.0555555555555556,0.3359687858948186,2.317129629629632,0,市区拥堵工况（低速、高怠速比）
343,136.0,0.25,0.3161764705882353,0.19852941176470587,0.2426470588235294,14.405147058823529,19.20686274509804,30.3,10.584084332375866,0.41149870801033595,-0.5411522633744856,1.75,0.5809693530700293,4.043209876543215,1,城郊过渡工况（中速）
344,128.0,0.03125,0.390625,0.3359375,0.25,17.8828125,18.459677419354843,24.2,5.178955453548886,0.3205555555555556,-0.3475452196382428,0.9444444444444444,0.34376287810823675,3.129629629629626,1,城郊过渡工况（中速）
